CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas,UF,Modalidade
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,302228,3,2025,117666586.99,GO,Cooperativa Médica
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,302627,1,2025,60010230.4,PE,Autogestão
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,302627,2,2025,122868593.63,PE,Autogestão
35617257000171,CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO,302627,3,2025,177441028.26999998,PE,Autogestão
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,302953,1,2025,624470385.04,RJ,Cooperativa Médica
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,302953,2,2025,1289025850.43,RJ,Cooperativa Médica
35830868000101,UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,302953,3,2025,1983959508.81,RJ,Cooperativa Médica
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,303178,1,2025,96837081.42,CE,Cooperativa Médica
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,303178,2,2025,189264933.77,CE,Cooperativa Médica
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,303178,3,2025,291995561.52,CE,Cooperativa Médica
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,303267,1,2025,588532008.3100001,SP,Cooperativa Médica
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,303267,2,2025,1201229566.71,SP,Cooperativa Médica
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,303267,3,2025,1844435523.24,SP,Cooperativa Médica
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,303356,1,2025,837035622.38,SC,Cooperativa Médica
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,303356,2,2025,1607316590.6100001,SC,Cooperativa Médica
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,303356,3,2025,2493083670.6,SC,Cooperativa Médica
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,303623,1,2025,1061042843.6700001,SP,Medicina de Grupo
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,303623,2,2025,2095579779.74,SP,Medicina de Grupo
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,303623,3,2025,3159065045.98,SP,Medicina de Grupo
64924095000112,SERMED-SAÚDE LTDA.,303739,1,2025,287472951.2,SP,Medicina de Grupo
64924095000112,SERMED-SAÚDE LTDA.,303739,2,2025,557820952.25,SP,Medicina de Grupo
64924095000112,SERMED-SAÚDE LTDA.,303739,3,2025,849364164.1700001,SP,Medicina de Grupo
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,303844,1,2025,74518543.62,SP,Cooperativa Médica
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,303844,2,2025,144965669.20999998,SP,Cooperativa Médica
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,303844,3,2025,218097153.42,SP,Cooperativa Médica
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,303976,1,2025,2366263521.63,PA,Cooperativa Médica
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,303976,2,2025,4335467935.74,PA,Cooperativa Médica
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,303976,3,2025,6295888789.88,PA,Cooperativa Médica
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,304051,1,2025,235224392.10999998,MG,Cooperativa Médica
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,304051,2,2025,413799760.7,MG,Cooperativa Médica
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,304051,3,2025,576366006.24,MG,Cooperativa Médica
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,304123,1,2025,81179362.79,SP,Cooperativa Médica
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,304123,2,2025,147896770.26,SP,Cooperativa Médica
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,304123,3,2025,221833649.4,SP,Cooperativa Médica
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),304131,1,2025,173847171.5,SP,Autogestão
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),304131,2,2025,320087735.59,SP,Autogestão
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),304131,3,2025,480666314.72,SP,Autogestão
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,304212,1,2025,15761364.02,RS,Medicina de Grupo
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,304212,2,2025,39176261.839999996,RS,Medicina de Grupo
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,304212,3,2025,77836547.77,RS,Medicina de Grupo
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,304344,1,2025,143130010.75,MG,Cooperativa Médica
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,304344,2,2025,267976913.14,MG,Cooperativa Médica
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,304344,3,2025,397613597.5,MG,Cooperativa Médica
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,304395,1,2025,171241656.39000002,MG,Cooperativa Médica
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,304395,2,2025,341337283.14,MG,Cooperativa Médica
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,304395,3,2025,510973353.31,MG,Cooperativa Médica
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,304441,1,2025,26163441.26,PE,Odontologia de Grupo
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,304441,2,2025,47964826.76,PE,Odontologia de Grupo
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,304441,3,2025,68497893.39999999,PE,Odontologia de Grupo
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,304468,1,2025,197708163.07,MT,Cooperativa Médica
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,304468,2,2025,362511067.69,MT,Cooperativa Médica
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,304468,3,2025,539150018.47,MT,Cooperativa Médica
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,304484,1,2025,73102169.53,PR,Cooperativa odontológica
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,304484,2,2025,144049606.81,PR,Cooperativa odontológica
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,304484,3,2025,227678140.31,PR,Cooperativa odontológica
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,304531,1,2025,16990010.43,MG,Medicina de Grupo
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,304531,2,2025,29245486.8,MG,Medicina de Grupo
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,304531,3,2025,41640666.230000004,MG,Medicina de Grupo
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,304701,1,2025,5156720424.84,PR,Cooperativa Médica
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,304701,2,2025,9772038491.28,PR,Cooperativa Médica
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,304701,3,2025,14712021587.57,PR,Cooperativa Médica
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,304883,1,2025,324874895.65,SP,Cooperativa Médica
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,304883,2,2025,665227374.73,SP,Cooperativa Médica
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,304883,3,2025,954452322.08,SP,Cooperativa Médica
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,305227,1,2025,153918063.53,PR,Cooperativa Médica
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,305227,2,2025,279208228.75,PR,Cooperativa Médica
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,305227,3,2025,425030640.95,PR,Cooperativa Médica
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,305421,1,2025,5744407.91,RS,Cooperativa odontológica
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,305421,2,2025,11497901.65,RS,Cooperativa odontológica
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,305421,3,2025,14660492.83,RS,Cooperativa odontológica
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,305472,1,2025,156079411.8,GO,Cooperativa Médica
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,305472,2,2025,284889510.24,GO,Cooperativa Médica
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,305472,3,2025,436375244.98,GO,Cooperativa Médica
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,305626,1,2025,63411742.1,MG,Medicina de Grupo
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,305626,2,2025,97642959.64,MG,Medicina de Grupo
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,305626,3,2025,138907711.89000002,MG,Medicina de Grupo
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,305928,1,2025,10896605.8,SP,Medicina de Grupo
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,305928,2,2025,20905999.56,SP,Medicina de Grupo
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,305928,3,2025,30746763.77,SP,Medicina de Grupo
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,306045,1,2025,14844339.389999999,SP,Filantropia
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,306045,2,2025,24230839.95,SP,Filantropia
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,306045,3,2025,35565346.15,SP,Filantropia
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,306100,1,2025,232263918.07000002,PR,Cooperativa Médica
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,306100,2,2025,435482308.0,PR,Cooperativa Médica
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,306100,3,2025,652702652.48,PR,Cooperativa Médica
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,306126,1,2025,242373957.99,SP,Cooperativa Médica
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,306126,2,2025,492961248.42,SP,Cooperativa Médica
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,306126,3,2025,752563052.63,SP,Cooperativa Médica
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,306398,1,2025,870135044.57,RS,Cooperativa Médica
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,306398,2,2025,1699705416.68,RS,Cooperativa Médica
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,306398,3,2025,2565819569.94,RS,Cooperativa Médica
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,306754,1,2025,59813067.01,GO,Autogestão
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,306754,2,2025,126185319.81,GO,Autogestão
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,306754,3,2025,185198123.9,GO,Autogestão
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,306762,1,2025,257486211.67000002,SP,Cooperativa Médica
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,306762,2,2025,500110293.96,SP,Cooperativa Médica
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,306762,3,2025,751645630.1,SP,Cooperativa Médica
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,306886,1,2025,833334675.37,MG,Cooperativa Médica
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,306886,2,2025,1579011549.26,MG,Cooperativa Médica
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,306886,3,2025,2391776433.03,MG,Cooperativa Médica
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,307319,1,2025,405210996.06,RS,Autogestão
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,307319,2,2025,772059684.95,RS,Autogestão
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,307319,3,2025,1185699581.11,RS,Autogestão
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,307751,1,2025,174775659.34,PE,Autogestão
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,307751,2,2025,351543263.3,PE,Autogestão
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,307751,3,2025,514945892.12,PE,Autogestão
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,308811,1,2025,54327077.1,PR,Cooperativa Médica
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,308811,2,2025,103350354.3,PR,Cooperativa Médica
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,308811,3,2025,158301075.87,PR,Cooperativa Médica
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",309028,1,2025,50796947.3,RJ,Medicina de Grupo
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",309028,2,2025,67697997.15,RJ,Medicina de Grupo
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",309028,3,2025,85574413.87,RJ,Medicina de Grupo
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,309087,1,2025,117092739.67,MG,Cooperativa Médica
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,309087,2,2025,244718026.7,MG,Cooperativa Médica
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,309087,3,2025,369709368.98,MG,Cooperativa Médica
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,309222,1,2025,3372539430.79,RJ,Medicina de Grupo
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,309222,2,2025,5990340248.97,RJ,Medicina de Grupo
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,309222,3,2025,9089399981.45,RJ,Medicina de Grupo
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,309524,1,2025,40292651.64,SP,Cooperativa Médica
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,309524,2,2025,80256796.67,SP,Cooperativa Médica
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,309524,3,2025,120196622.71000001,SP,Cooperativa Médica
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,309907,1,2025,253322461.34,TO,Cooperativa Médica
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,309907,2,2025,448291327.77,TO,Cooperativa Médica
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,309907,3,2025,640497180.66,TO,Cooperativa Médica
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,310239,1,2025,37225708.18,SP,Medicina de Grupo
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,310239,2,2025,66330585.27,SP,Medicina de Grupo
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,310239,3,2025,99497440.58,SP,Medicina de Grupo
88645403000139,CIRCULO OPERARIO CAXIENSE,310247,1,2025,379119973.8,RS,Medicina de Grupo
88645403000139,CIRCULO OPERARIO CAXIENSE,310247,2,2025,718006998.72,RS,Medicina de Grupo
88645403000139,CIRCULO OPERARIO CAXIENSE,310247,3,2025,1096389743.83,RS,Medicina de Grupo
02752923000125,PROASA SAÚDE,310522,1,2025,299787446.14,DF,Medicina de Grupo
02752923000125,PROASA SAÚDE,310522,2,2025,568956306.39,DF,Medicina de Grupo
02752923000125,PROASA SAÚDE,310522,3,2025,939980586.53,DF,Medicina de Grupo
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,310981,1,2025,20183435.400000002,SP,Odontologia de Grupo
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,310981,2,2025,38103694.58,SP,Odontologia de Grupo
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,310981,3,2025,56146378.4,SP,Odontologia de Grupo
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,311057,1,2025,10823727.01,MG,Cooperativa Médica
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,311057,2,2025,19439391.04,MG,Cooperativa Médica
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,311057,3,2025,29255773.21,MG,Cooperativa Médica
36540979000138,UNIMED COSTA VERDE RJ,311146,1,2025,110255199.07000001,RJ,Cooperativa Médica
36540979000138,UNIMED COSTA VERDE RJ,311146,2,2025,183522706.35,RJ,Cooperativa Médica
36540979000138,UNIMED COSTA VERDE RJ,311146,3,2025,258131342.36,RJ,Cooperativa Médica
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,311294,1,2025,238853670.08,SP,Cooperativa Médica
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,311294,2,2025,472357725.25,SP,Cooperativa Médica
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,311294,3,2025,688682806.88,SP,Cooperativa Médica
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,311359,1,2025,117962652.06,PR,Medicina de Grupo
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,311359,2,2025,241697716.36,PR,Medicina de Grupo
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,311359,3,2025,387466173.12,PR,Medicina de Grupo
